conference,conference_year,n_papers
ICFP,2017,44
ICFP,2018,40
ICFP,2019,39
ICFP,2020,36
ICFP,2021,35
ICFP,2022,35
ICFP,2023,33
ICFP,2024,35
ICFP,2025,36
OOPSLA,2017,66
OOPSLA,2018,60
OOPSLA,2019,73
OOPSLA,2020,108
OOPSLA,2021,71
OOPSLA1,2022,24
OOPSLA1,2023,31
OOPSLA1,2024,53
OOPSLA1,2025,67
OOPSLA2,2022,68
OOPSLA2,2023,78
OOPSLA2,2024,95
OOPSLA2,2025,148
PLDI,2017,47
PLDI,2018,55
PLDI,2019,76
PLDI,2020,77
PLDI,2021,87
PLDI,2022,68
PLDI,2023,83
PLDI,2024,89
PLDI,2025,88
POPL,2018,66
POPL,2019,77
POPL,2020,68
POPL,2021,61
POPL,2022,65
POPL,2023,74
POPL,2024,93
POPL,2025,79
